variant,estimator_family,basis,features,feature_count,q_model_kind,alpha_model_kind,beta_model_kind,drift_model_kind,closed_form,description,holdout_family,mean_train_auc,mean_test_auc,generalization_gap,q_train_auc,q_test_auc,alpha_train_auc,alpha_test_auc,beta_train_auc,beta_test_auc,drift_train_auc,drift_test_auc,mean_brier,mean_ece,boundary_within_one,mean_oracle_gap,mean_stop_utility
hazard_quadratic_combo_entropymean_entropystd_confidence_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, confidence, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.7950070454325043,0.5099417974876653,0.285065247944839,0.7125685001023854,0.5227874871672837,0.8307235960263895,0.49170176916596464,0.8417290401687382,0.5153361361297477,,,0.1826002272428556,0.1684559677179609,0.61,0.425,0.1912777777777778
hazard_quadratic_combo_entropymean_entropystd_confidence_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, confidence, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.7454756679012507,0.5803786122526308,0.16509705564861998,0.6933684718519415,0.5365863283125397,0.73825043743973,0.6633894153436317,0.8048080944120808,0.5411600931017205,,,0.20423313143993063,0.30184374739621994,0.34555555555555556,0.25227777777777777,0.18616666666666667
hazard_quadratic_combo_entropymean_entropystd_confidence_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, confidence, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 0.5B,0.7110123423681548,0.6014603042156712,0.1095520381524836,0.7012487160696806,0.5401103181670472,0.6761673037841465,0.6483723432875975,0.7556210072506369,0.6158982511923689,,,0.2169184957358917,0.43976118637312345,0.7277777777777777,0.09705555555555558,-0.00866666666666668
hazard_quadratic_combo_entropymean_entropystd_confidence_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, confidence, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 7B,0.634311517473339,0.7685267988101415,-0.1342152813368025,0.5876683259882423,0.7954185402080372,0.6676156004447467,0.6328579312463387,0.647650625987028,0.8773039249760488,,,0.23856898967927387,0.30925730830881826,0.3611111111111111,0.23055555555555557,0.5300555555555555
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.770731839225823,0.5770126421524191,0.1937191970734039,0.7101994457298589,0.6317138102146134,0.7331817064520829,0.5207694976117594,0.8688143654955269,0.5785546186308845,,,0.1933067569644111,0.21959383137155322,0.37222222222222223,0.45666666666666667,0.15961111111111112
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.6942912732242803,0.7089431871948975,-0.014651913970617159,0.6923486240968169,0.6379053889193317,0.6459709866867501,0.7167300669936392,0.7445542088892739,0.7721941056717213,,,0.22398027472686063,0.3121993807460565,0.2866666666666667,0.2943888888888889,0.14405555555555558
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 0.5B,0.6860151019815599,0.6112377582196008,0.0747773437619591,0.6872561125030202,0.5366304425809555,0.6048460619503799,0.7175385819453616,0.7659431314912797,0.5795442501324855,,,0.22209483708965838,0.4314404820114311,0.6266666666666667,0.09461111111111112,-0.006222222222222234
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_answerchanged,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, answer_changed",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 7B,0.6950104480815954,0.6865157799321916,0.008494668149403806,0.6638507199022814,0.7200980274683764,0.6862508375329295,0.5296370233179499,0.7349297868095753,0.8098122890102483,,,0.2282504322276259,0.2526233542365785,0.3977777777777778,0.47583333333333333,0.2847777777777778
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.7582714300455363,0.5087800387480333,0.24949139129750297,0.6726353079458363,0.518281628736742,0.7546639749942204,0.50114589805853,0.8475150071965523,0.5069125894488278,,,0.19559259220106973,0.2021893073588218,0.44555555555555554,0.4553888888888889,0.16088888888888891
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.6665160742661622,0.6695092682638281,-0.002993193997665844,0.6432642895727025,0.615152809239554,0.6338993804715652,0.6552751141488083,0.7223845527542189,0.7380998814031215,,,0.22776866325182277,0.31978149917190146,0.2644444444444444,0.29494444444444445,0.14349999999999996
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 0.5B,0.6675278024545354,0.5902395601335354,0.07728824232099996,0.6634568970333669,0.5332407122147617,0.6031621364325321,0.606635360872649,0.7359643738977072,0.6308426073131955,,,0.22666026386064986,0.44849540199663895,0.46444444444444444,0.10605555555555557,-0.017666666666666674
hazard_quadratic_combo_entropymean_entropystd_hiddenl2shift_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, hidden_l2_shift, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Qwen 7B,0.6054805686212467,0.7157754564753548,-0.11029488785410813,0.5809193186357609,0.7367556338676579,0.6080694752194755,0.5452892597408164,0.6274529120085037,0.8652814758175901,,,0.24141360521947852,0.2531160551560754,0.4266666666666667,0.5271111111111111,0.2335
hazard_quadratic_combo_entropymean_entropystd_answerchanged_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,DeepSeek 1.5B,0.7556826358193253,0.5472424102018949,0.20844022561743036,0.7000207728537139,0.6287684100855616,0.7656155344524136,0.5147481959539049,0.8014116001518482,0.49821062456621806,,,0.20478732238586708,0.20829130286713063,0.39111111111111113,0.44122222222222224,0.17505555555555558
hazard_quadratic_combo_entropymean_entropystd_answerchanged_thoughttokencount,hazard,quadratic,"entropy_mean, entropy_std, answer_changed, thought_token_count",4,logistic,logistic,logistic,,True,Quadratic hazard equation over a 4-of-6 observable subset.,Mistral 7B,0.684054575061674,0.6731210634273709,0.010933511634303117,0.6834767874472598,0.6479287642987948,0.6572986894668469,0.6718959707869354,0.7113882482709153,0.6995384551963825,,,0.2255150146079098,0.31260963273107295,0.29777777777777775,0.29205555555555557,0.1463888888888889
