model,task_source_index,T_c,alpha_mean,beta_mean,alpha_beta_ratio,n_runs
DeepSeek 1.5B,82,1,0.41666666666666663,0.35,1.1904761904761905,3
DeepSeek 1.5B,83,1,0.31666666666666665,0.4,0.7916666666666666,3
DeepSeek 1.5B,84,2,0.55,0.41666666666666663,1.3200000000000003,3
DeepSeek 1.5B,85,2,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,86,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,87,2,0.29999999999999993,0.36666666666666664,0.818181818181818,3
DeepSeek 1.5B,88,1,0.15,0.35,0.4285714285714286,3
DeepSeek 1.5B,89,1,0.1,0.3,0.33333333333333337,3
DeepSeek 1.5B,90,1,0.25,0.1833333333333333,1.363636363636364,3
DeepSeek 1.5B,91,1,0.25,0.3,0.8333333333333334,3
DeepSeek 1.5B,92,1,0.03333333333333333,0.1,0.3333333333333333,3
DeepSeek 1.5B,93,1,0.21666666666666665,0.35,0.6190476190476191,3
DeepSeek 1.5B,94,1,0.06666666666666667,0.2,0.3333333333333333,3
DeepSeek 1.5B,95,3,0.18333333333333332,0.25,0.7333333333333333,3
DeepSeek 1.5B,96,1,0.0,0.0,0.0,3
DeepSeek 1.5B,97,2,0.5,0.25,2.0,3
DeepSeek 1.5B,98,1,0.06666666666666667,0.1,0.6666666666666666,3
DeepSeek 1.5B,99,1,0.0,0.0,0.0,3
DeepSeek 1.5B,100,1,0.3,0.2,1.4999999999999998,3
DeepSeek 1.5B,101,1,0.4,0.31666666666666665,1.2631578947368423,3
DeepSeek 1.5B,102,1,0.0,0.0,0.0,3
DeepSeek 1.5B,103,2,0.3,0.3,1.0,3
DeepSeek 1.5B,104,1,0.0,0.0,0.0,3
DeepSeek 1.5B,105,1,0.21666666666666665,0.4,0.5416666666666666,3
DeepSeek 1.5B,106,1,0.41666666666666663,0.6,0.6944444444444444,3
DeepSeek 1.5B,107,1,0.25,0.2833333333333333,0.8823529411764706,3
DeepSeek 1.5B,108,2,0.2833333333333333,0.3,0.9444444444444444,3
DeepSeek 1.5B,109,1,0.16666666666666666,0.18333333333333332,0.9090909090909091,3
DeepSeek 1.5B,110,1,0.25,0.5,0.5,3
DeepSeek 1.5B,111,1,0.1,0.3,0.33333333333333337,3
